displacement_snl_sim,force_snl_sim,displacement_snl_exp_1,force_snl_exp_1,displacement_snl_exp_2,force_snl_exp_2,displacement_snl_exp_3,force_snl_exp_3,force_snl_exp_3
inch,lbf,inch,lbf,inch,lbf,inch,lbf,lbf
,,0.04902039,4711.131594,0.043814027,4937.882758,0.06309229,5476.152724,5476.152724
,,0.049779994,4782.169891,0.045413531,5018.500693,0.064651645,5555.251918,5555.251918
,,0.050352139,4872.777981,0.047013754,5086.21153,0.06635515,5641.36099,5641.36099
,,0.050816854,4942.928612,0.048524512,5162.906763,0.06809915,5734.113755,5734.113755
,,0.051201895,4995.481662,0.050126747,5242.750718,0.06971188,5826.45785,5826.45785
,,0.051490714,5052.302253,0.051618047,5305.252718,0.071251576,5928.029473,5928.029473
,,0.051764594,5105.143751,0.0529217,5384.683879,0.072650389,6001.912595,6001.912595
,,0.052082614,5140.762598,0.054371243,5461.693872,0.073867196,6069.07879,6069.07879
,,0.052377761,5183.394214,0.055890761,5535.411456,0.075218721,6128.703623,6128.703623
,,0.052650708,5224.02722,0.057198851,5621.723385,0.076747955,6213.859477,6213.859477
,,0.052861565,5246.178841,0.058848353,5704.803408,0.078352334,6303.034102,6303.034102
,,0.053060439,5257.427506,0.060397074,5763.468876,0.079953653,6394.853772,6394.853772
,,0.053436244,5259.130359,0.061766897,5859.476876,0.081487851,6482.471491,6482.471491
,,0.054021664,5277.735683,0.063357479,5932.688998,0.083041085,6571.024949,6571.024949
,,0.054862238,5298.376212,0.064761445,6009.566698,0.084618595,6658.903757,6658.903757
,,0.055878316,5323.195186,0.06605247,6085.832012,0.086154556,6750.280285,6750.280285
,,0.057009473,5334.865401,0.06745413,6148.847728,0.087729991,6819.10739,6819.10739
,,0.058109822,5344.98959,0.068784992,6198.439405,0.089433435,6920.611526,6920.611526
,,0.059330465,5352.416727,0.069929065,6240.537697,0.091106544,7026.439814,7026.439814
,,0.060826745,5343.092411,0.070983609,6275.081977,0.092667295,7121.103894,7121.103894
,,0.062926547,5353.945789,0.071822529,6294.502419,0.09418702,7212.471894,7212.471894
