,bin_time,force,displacement,d3_time,eps_element_81,eps_element_67,eps_element_47,eps_element_53,eps_element_45,eps_element_61,triaxiality_81,triaxiality_67,triaxiality_47,triaxiality_53,triaxiality_45,triaxiality_61
0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-inf,,
1,2.5,1175.616813674124,-0.0,10.433874154774191,0.009203104718334031,0.013240856382730457,0.006932965143024187,0.006687079218527632,0.002326401400914583,0.00874118786816878,,,,,-0.01228166825298479,0.6235141906756495
2,6.462232981152784,1543.2527489478846,-0.0,20.36297708882771,0.009203104718334024,0.013240856382730449,0.006932965143024192,0.00668707921852763,0.002326401400914583,0.00874118786816878,,,,,-0.05408425488293335,0.47639883774598557
3,8.448053567963488,463.752679255687,-0.0,32.27790060969193,0.009203104718334024,0.01324085638273044,0.006932965143024193,0.006687079218527634,0.002326401400914583,0.010080735573067944,,,,,-0.05598300453567928,0.10413770409404993
4,10.433874154774191,130.10572856846753,-0.0,42.20700354374545,0.009203104718334024,0.01324085638273044,0.006932965143024197,0.006687079218527637,0.002326401400914583,0.013846512422335457,,,,,-0.04356650488443718,0.08101737638870238
5,14.405515328395598,5.46486083302938,-0.0,52.13610647779897,0.009203104718334024,0.01324085638273044,0.006932965143024201,0.006687079218527642,0.002326401400914583,0.021714184133893297,,,,,-0.04475943475074725,0.07983070406343666
6,16.3913359152063,-1.7422092765866197,-0.0,62.065209411852486,0.009203104718334024,0.01324085638273044,0.006932965143024208,0.006687079218527648,0.002326401400914583,0.03216917003864952,,,,,-0.036180676638393035,0.13074259611556796
7,18.377156502017005,-1.6943500528104476,-0.0,71.99431234590601,0.009203104718334024,0.01324085638273044,0.0069329651430242115,0.006687079218527651,0.002326401400914583,0.04294513061291105,,,,,-0.04595601593961808,0.03278385091273288
8,20.36297708882771,31.55217154251896,-0.0,81.92341527995953,0.009203104718334024,0.01324085638273044,0.00693296514302422,0.0066870792185276555,0.002326401400914583,0.053236059684503734,,,,,-0.06006017900276174,0.0035111810902224557
9,24.334618262449116,19.76372874840687,-0.0,91.85251821401305,0.009203104718334024,0.01324085638273044,0.006932965143024224,0.0066870792185276615,0.002326401400914583,0.06447601020637439,,,,,-0.07407199569562226,-0.003612749577128009
10,26.32043884925982,25.956189970183306,-0.0,100.0,0.009203104718334024,0.01324085638273044,0.006932965143024228,0.006687079218527666,0.002326401400914583,0.07259430761063922,,,,,-0.01576674100969786,0.03276118974658564
11,28.306259436070523,25.592192068360234,-0.0,,,,,,,,,,,,,
12,30.292080022881226,23.614177078885017,-0.0,,,,,,,,,,,,,
13,34.26372119650264,32.93399090099665,-0.0,,,,,,,,,,,,,
14,36.24954178331334,22.214466653289126,-0.0,,,,,,,,,,,,,
15,38.235362370124044,22.936549098690485,-0.0,,,,,,,,,,,,,
16,40.22118295693475,24.836800612226007,-0.0,,,,,,,,,,,,,
17,44.192824130556154,25.65332434196961,-0.0,,,,,,,,,,,,,
18,46.17864471736686,24.305276270371966,-0.0,,,,,,,,,,,,,
19,48.16446530417756,24.102271989164013,-0.0,,,,,,,,,,,,,
20,50.150285890988265,24.31561722401734,-0.0,,,,,,,,,,,,,
21,54.12192706460967,21.962867954472678,-0.0,,,,,,,,,,,,,
22,56.107747651420375,19.881505171224596,-0.0,,,,,,,,,,,,,
23,58.09356823823108,23.592717756086927,-0.0,,,,,,,,,,,,,
24,60.07938882504178,23.254196120029935,-0.0,,,,,,,,,,,,,
25,64.0510299986632,20.52833344869918,-0.0,,,,,,,,,,,,,
26,66.0368505854739,20.305548097311398,-0.0,,,,,,,,,,,,,
27,68.0226711722846,19.029402332342148,-0.0,,,,,,,,,,,,,
28,70.0084917590953,20.54842906947014,-0.0,,,,,,,,,,,,,
29,73.98013293271671,19.99745432423697,-0.0,,,,,,,,,,,,,
30,75.96595351952742,25.959450015215126,-0.0,,,,,,,,,,,,,
31,77.95177410633812,21.96621214364759,-0.0,,,,,,,,,,,,,
32,81.92341527995953,20.09401995707412,-0.0,,,,,,,,,,,,,
33,83.90923586677023,22.143713454332136,-0.0,,,,,,,,,,,,,
34,85.89505645358093,19.335293415439647,-0.0,,,,,,,,,,,,,
35,87.88087704039164,20.592239602313697,-0.0,,,,,,,,,,,,,
36,91.85251821401305,17.752689960660874,-0.0,,,,,,,,,,,,,
37,93.83833880082375,18.84196161282802,-0.0,,,,,,,,,,,,,
38,95.82415938763445,19.70041514861521,-0.0,,,,,,,,,,,,,
39,97.80997997444516,18.674690634090506,-0.0,,,,,,,,,,,,,
40,100.0,19.905963645565137,-0.0,,,,,,,,,,,,,
