bin_time,force,displacement,d3_time,eps_element_81,eps_element_82,eps_element_83,triaxiality_81,triaxiality_82,triaxiality_83
0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf
9.377018984102364,5097.885862545266,4.688509492051182e-05,10.837872517536159,0.021705284036783085,0.0009334954102739947,0.0003807068634027923,-0.2161311285361625,-0.5393068755345246,-0.33834743321664923
14.614022871291938,6058.976021247839,7.30701143564597e-05,20.598817860669097,0.04993619819217234,0.006271402837896309,0.0016008688668229822,-0.18287882899846308,-0.4694130954384986,-0.30730266833722686
24.26831602972427,7135.159312752538,0.00012134158014862137,31.60731236783462,0.08314249791581828,0.016289438357100727,0.005795853267850787,-0.1774480346719757,-0.5185540894827491,-0.4343061407889704
35.2768105368898,7568.234117833731,0.000176384052684449,42.615806875000146,0.11540162907243717,0.02530656477366604,0.011992537287544467,-0.3295091424823377,-0.7160760867757079,-0.5722302215460653
46.28530504405532,7878.170292897909,0.00023142652522027663,53.62430138216567,0.14859438381329126,0.03428086419039177,0.018317684443313005,-0.337519739099007,-0.7227776375592498,-0.6129860116676721
57.29379955122084,8097.236071189409,0.00028646899775610425,60.96329772027602,0.16540667278791396,0.03989357110352052,0.021751854097166134,-0.6199748321807635,-0.9379019364096283,-0.6095309947308721
68.30229405838637,7731.001056289162,0.0003415114702919319,71.97179222744154,0.19265638462951784,0.046456259912202445,0.0261081045459838,-0.656298500239324,-1.981381126731563,-0.6454974499849886
79.31078856555189,6794.995833224342,0.00039655394282775945,82.98028673460706,0.21911241588599026,0.05225206896781277,0.02992236392878802,-0.655545573804061,-1.7435953476484938,-0.5527999946262835
90.31928307271741,6394.173478690671,0.0004515964153635871,93.98878124177259,0.24356693296900572,0.05591056077799311,0.03216312053781495,-0.37759714742552347,-2.2773438635037206,-0.45401266363041615
100.0,6254.916966640192,0.0005,100.0,0.2555045386056446,0.05763330214479669,0.034262010611390066,-0.4628464799287505,-1.7110865211814694,-0.367884156280671
